Month,Year,Price_beef_kilo,Price_rice_kilo,Price_coffee_kilo,Inflation_rate,Price_rice_infl,Price_beef_infl,Price_coffee_infl
Jul,2004,2.81,0.23,1.65,40.84,0.32,3.96,2.32
Aug,2004,2.92,0.24,1.62,40.84,0.34,4.11,2.28
Sep,2004,2.93,0.24,1.77,40.84,0.34,4.13,2.49
Oct,2004,2.79,0.24,1.78,40.84,0.34,3.93,2.51
Nov,2004,2.77,0.26,1.99,40.84,0.37,3.9,2.8
Dec,2004,2.71,0.28,2.3,40.84,0.39,3.82,3.24
Jan,2005,2.69,0.29,2.36,31.96,0.38,3.55,3.11
Feb,2005,2.7,0.29,2.66,31.96,0.38,3.56,3.51
Mar,2005,2.75,0.29,2.98,31.96,0.38,3.63,3.93
Apr,2005,2.74,0.3,2.86,31.96,0.4,3.62,3.77
May,2005,2.77,0.29,2.83,31.96,0.38,3.66,3.73
Jun,2005,2.78,0.28,2.67,31.96,0.37,3.67,3.52
Jul,2005,2.81,0.28,2.42,31.96,0.37,3.71,3.19
Aug,2005,2.76,0.28,2.39,31.96,0.37,3.64,3.15
Sep,2005,2.75,0.29,2.19,31.96,0.38,3.63,2.89
Oct,2005,2.7,0.29,2.32,31.96,0.38,3.56,3.06
Nov,2005,2.7,0.28,2.38,31.96,0.37,3.56,3.14
Dec,2005,2.65,0.28,2.33,31.96,0.37,3.5,3.07
Jan,2006,2.62,0.29,2.74,,,,
Feb,2006,2.65,0.3,2.63,,,,
Mar,2006,2.62,0.3,2.51,,,,
Apr,2006,2.6,0.3,2.54,,,,
May,2006,2.62,0.31,2.41,,,,
Jun,2006,2.57,0.31,2.27,,,,
Jul,2006,2.62,0.32,2.31,,,,
Aug,2006,2.66,0.31,2.46,,,,
Sep,2006,2.68,0.31,2.42,,,,
Oct,2006,2.69,0.3,2.44,,,,
Nov,2006,2.77,0.3,2.7,,,,
Dec,2006,2.7,0.3,2.83,,,,
Jan,2007,2.69,0.31,2.75,28.3,0.4,3.45,3.53
Feb,2007,2.71,0.32,2.69,28.3,0.41,3.48,3.45
Mar,2007,2.69,0.32,2.58,28.3,0.41,3.45,3.31
Apr,2007,2.69,0.32,2.53,28.3,0.41,3.45,3.25
May,2007,2.7,0.32,2.5,28.3,0.41,3.46,3.21
Jun,2007,2.68,0.32,2.63,28.3,0.41,3.44,3.37
Jul,2007,2.67,0.33,2.59,28.3,0.42,3.43,3.32
Aug,2007,2.69,0.33,2.72,28.3,0.42,3.45,3.49
Sep,2007,2.69,0.32,2.82,28.3,0.41,3.45,3.62
Oct,2007,2.67,0.33,2.96,28.3,0.42,3.43,3.8
Nov,2007,2.72,0.34,2.89,28.3,0.44,3.49,3.71
Dec,2007,2.73,0.36,3.03,28.3,0.46,3.5,3.89
Jan,2008,2.77,0.38,3.08,23.56,0.47,3.42,3.81
Feb,2008,2.89,0.46,3.47,23.56,0.57,3.57,4.29
Mar,2008,3.01,0.59,3.3,23.56,0.73,3.72,4.08
Apr,2008,3.16,0.91,3.1,23.56,1.12,3.9,3.83
May,2008,3.51,0.9,3.13,23.56,1.11,4.34,3.87
Jun,2008,3.66,0.76,3.22,23.56,0.94,4.52,3.98
Jul,2008,3.93,0.73,3.25,23.56,0.9,4.86,4.02
Aug,2008,3.84,0.69,3.23,23.56,0.85,4.74,3.99
Sep,2008,3.56,0.68,3.16,23.56,0.84,4.4,3.9
Oct,2008,3.11,0.61,2.72,23.56,0.75,3.84,3.36
Nov,2008,2.73,0.55,2.69,23.56,0.68,3.37,3.32
Dec,2008,2.66,0.53,2.62,23.56,0.65,3.29,3.24
Jan,2009,2.64,0.58,2.83,24,0.72,3.27,3.51
Feb,2009,2.54,0.59,2.85,24,0.73,3.15,3.53
Mar,2009,2.61,0.59,2.83,24,0.73,3.24,3.51
Apr,2009,2.64,0.55,2.97,24,0.68,3.27,3.68
May,2009,2.72,0.53,3.33,24,0.66,3.37,4.13
Jun,2009,2.74,0.57,3.3,24,0.71,3.4,4.09
Jul,2009,2.79,0.57,3.11,24,0.71,3.46,3.86
Aug,2009,2.8,0.53,3.3,24,0.66,3.47,4.09
Sep,2009,2.81,0.52,3.27,24,0.64,3.48,4.05
Oct,2009,2.75,0.49,3.41,24,0.61,3.41,4.23
Nov,2009,2.83,0.54,3.36,24,0.67,3.51,4.17
Dec,2009,2.88,0.59,3.49,24,0.73,3.57,4.33
Jan,2010,3.02,0.57,3.5,22,0.7,3.68,4.27
Feb,2010,3.21,0.54,3.48,22,0.66,3.92,4.25
Mar,2010,3.4,0.5,3.63,22,0.61,4.15,4.43
Apr,2010,3.66,0.47,3.73,22,0.57,4.47,4.55
May,2010,3.58,0.45,3.82,22,0.55,4.37,4.66
Jun,2010,3.33,0.44,4.21,22,0.54,4.06,5.14
Jul,2010,3.27,0.44,4.48,22,0.54,3.99,5.47
Aug,2010,3.41,0.45,4.66,22,0.55,4.16,5.69
Sep,2010,3.39,0.48,4.91,22,0.59,4.14,5.99
Oct,2010,3.37,0.49,4.8,22,0.6,4.11,5.86
Nov,2010,3.5,0.51,5.15,22,0.62,4.27,6.28
Dec,2010,3.88,0.53,5.47,22,0.65,4.73,6.67
Jan,2011,4.19,0.52,5.82,18.27,0.62,4.96,6.88
Feb,2011,4.08,0.52,6.35,18.27,0.62,4.83,7.51
Mar,2011,4.19,0.49,6.44,18.27,0.58,4.96,7.62
Apr,2011,4.33,0.48,6.62,18.27,0.57,5.12,7.83
May,2011,4.16,0.48,6.42,18.27,0.57,4.92,7.59
Jun,2011,3.94,0.51,6.06,18.27,0.6,4.66,7.17
Jul,2011,3.94,0.54,5.91,18.27,0.64,4.66,6.99
Aug,2011,3.93,0.57,5.96,18.27,0.67,4.65,7.05
Sep,2011,3.83,0.6,6.06,18.27,0.71,4.53,7.17
Oct,2011,3.92,0.6,5.46,18.27,0.71,4.64,6.46
Nov,2011,4.2,0.62,5.4,18.27,0.73,4.97,6.39
Dec,2011,4.22,0.59,5.22,18.27,0.7,4.99,6.17
Jan,2012,4.26,0.54,5.23,15.87,0.63,4.94,6.06
Feb,2012,4.31,0.54,4.94,15.87,0.63,4.99,5.72
Mar,2012,4.35,0.55,4.44,15.87,0.64,5.04,5.14
Apr,2012,4.29,0.55,4.22,15.87,0.64,4.97,4.89
May,2012,4.22,0.6,4.07,15.87,0.7,4.89,4.72
Jun,2012,4.12,0.6,3.72,15.87,0.7,4.77,4.31
Jul,2012,4.03,0.57,4.2,15.87,0.66,4.67,4.87
Aug,2012,4.1,0.57,3.85,15.87,0.66,4.75,4.46
Sep,2012,4.06,0.56,3.95,15.87,0.65,4.7,4.58
Oct,2012,4.07,0.56,3.82,15.87,0.65,4.72,4.43
Nov,2012,4.29,0.56,3.53,15.87,0.65,4.97,4.09
Dec,2012,4.37,0.56,3.37,15.87,0.65,5.06,3.9
Jan,2013,4.36,0.56,3.47,14.19,0.64,4.98,3.96
Feb,2013,4.35,0.56,3.3,14.19,0.64,4.97,3.77
Mar,2013,4.29,0.56,3.3,14.19,0.64,4.9,3.77
Apr,2013,4.27,0.56,3.3,14.19,0.64,4.88,3.77
May,2013,4.1,0.54,3.24,14.19,0.62,4.68,3.7
Jun,2013,3.93,0.52,3.05,14.19,0.59,4.49,3.48
Jul,2013,3.94,0.51,3.05,14.19,0.58,4.5,3.48
Aug,2013,3.95,0.48,2.98,14.19,0.55,4.51,3.4
Sep,2013,3.99,0.44,2.92,14.19,0.5,4.56,3.33
Oct,2013,4.04,0.44,2.84,14.19,0.5,4.61,3.24
Nov,2013,4.14,0.44,2.69,14.19,0.5,4.73,3.07
Dec,2013,4.18,0.45,2.78,14.19,0.51,4.77,3.17
Jan,2014,4.18,0.45,2.93,12.37,0.51,4.7,3.29
Feb,2014,4.28,0.46,3.83,12.37,0.52,4.81,4.3
Mar,2014,4.47,0.42,4.72,12.37,0.47,5.02,5.3
Apr,2014,4.35,0.4,4.93,12.37,0.45,4.89,5.54
May,2014,4.38,0.39,4.72,12.37,0.44,4.92,5.3
Jun,2014,4.54,0.4,4.36,12.37,0.45,5.1,4.9
Jul,2014,5.17,0.42,4.34,12.37,0.47,5.81,4.88
Aug,2014,5.79,0.44,4.7,12.37,0.49,6.51,5.28
Sep,2014,6.17,0.43,4.64,12.37,0.48,6.93,5.21
Oct,2014,5.95,0.43,4.97,12.37,0.48,6.69,5.58
Nov,2014,5.84,0.42,4.62,12.37,0.47,6.56,5.19
Dec,2014,5.46,0.42,4.34,12.37,0.47,6.14,4.88
Jan,2015,5.3,0.42,4.19,12.24,0.47,5.95,4.7
Feb,2015,4.88,0.42,3.94,12.24,0.47,5.48,4.42
Mar,2015,4.72,0.41,3.54,12.24,0.46,5.3,3.97
Apr,2015,4.82,0.4,3.62,12.24,0.45,5.41,4.06
May,2015,4.5,0.38,3.49,12.24,0.43,5.05,3.92
Jun,2015,4.44,0.38,3.52,12.24,0.43,4.98,3.95
Jul,2015,4.65,0.39,3.41,12.24,0.44,5.22,3.83
Aug,2015,4.77,0.37,3.46,12.24,0.42,5.35,3.88
Sep,2015,4.58,0.36,3.22,12.24,0.4,5.14,3.61
Oct,2015,4.24,0.37,3.38,12.24,0.42,4.76,3.79
Nov,2015,4.03,0.37,3.26,12.24,0.42,4.52,3.66
Dec,2015,3.8,0.36,3.28,12.24,0.4,4.27,3.68
Jan,2016,3.63,0.37,3.2,10.84,0.41,4.02,3.55
Feb,2016,3.86,0.38,3.26,10.84,0.42,4.28,3.61
Mar,2016,4.03,0.38,3.47,10.84,0.42,4.47,3.85
Apr,2016,3.96,0.4,3.4,10.84,0.44,4.39,3.77
May,2016,4.04,0.43,3.42,10.84,0.48,4.48,3.79
Jun,2016,4.11,0.44,3.65,10.84,0.49,4.56,4.05
Jul,2016,4.26,0.44,3.79,10.84,0.49,4.72,4.2
Aug,2016,4.24,0.42,3.69,10.84,0.47,4.7,4.09
Sep,2016,4.12,0.38,3.89,10.84,0.42,4.57,4.31
Oct,2016,4.04,0.37,3.95,10.84,0.41,4.48,4.38
Nov,2016,4.3,0.36,4.06,10.84,0.4,4.77,4.5
Dec,2016,4.14,0.37,3.57,10.84,0.41,4.59,3.96
Jan,2017,4.07,0.38,3.72,8.53,0.41,4.42,4.04
Feb,2017,4.23,0.37,3.67,8.53,0.4,4.59,3.98
Mar,2017,4.35,0.37,3.53,8.53,0.4,4.72,3.83
Apr,2017,4.41,0.38,3.43,8.53,0.41,4.79,3.72
May,2017,4.6,0.42,3.31,8.53,0.46,4.99,3.59
Jun,2017,4.68,0.46,3.16,8.53,0.5,5.08,3.43
Jul,2017,4.67,0.42,3.3,8.53,0.46,5.07,3.58
Aug,2017,4.47,0.39,3.3,8.53,0.42,4.85,3.58
Sep,2017,4.3,0.4,3.23,8.53,0.43,4.67,3.51
Oct,2017,4.25,0.39,3.1,8.53,0.42,4.61,3.36
Nov,2017,4.33,0.4,3.11,8.53,0.43,4.7,3.38
Dec,2017,4.28,0.41,3.03,8.53,0.44,4.65,3.29
Jan,2018,4.3,0.44,3.06,5.94,0.47,4.56,3.24
Feb,2018,4.35,0.42,3,5.94,0.44,4.61,3.18
Mar,2018,4.44,0.43,2.98,5.94,0.46,4.7,3.16
Apr,2018,4.38,0.45,2.96,5.94,0.48,4.64,3.14
May,2018,4.32,0.45,2.99,5.94,0.48,4.58,3.17
Jun,2018,4.24,0.43,2.95,5.94,0.46,4.49,3.13
Jul,2018,4.19,0.4,2.88,5.94,0.42,4.44,3.05
Aug,2018,4.11,0.4,2.76,5.94,0.42,4.35,2.92
Sep,2018,4.01,0.4,2.67,5.94,0.42,4.25,2.83
Oct,2018,3.86,0.41,3.03,5.94,0.43,4.09,3.21
Nov,2018,3.95,0.4,3.02,5.94,0.42,4.18,3.2
Dec,2018,4.19,0.4,2.8,5.94,0.42,4.44,2.97
Jan,2019,4.24,0.41,2.83,4.06,0.43,4.41,2.94
Feb,2019,4.28,0.41,2.83,4.06,0.43,4.45,2.94
Mar,2019,4.48,0.41,2.73,4.06,0.43,4.66,2.84
Apr,2019,4.7,0.41,2.67,4.06,0.43,4.89,2.78
May,2019,4.6,0.41,2.66,4.06,0.43,4.79,2.77
Jun,2019,4.63,0.42,2.86,4.06,0.44,4.82,2.98
Jul,2019,4.63,0.42,2.99,4.06,0.44,4.82,3.11
Aug,2019,4.6,0.43,2.78,4.06,0.45,4.79,2.89
Sep,2019,4.65,0.43,2.84,4.06,0.45,4.84,2.96
Oct,2019,4.86,0.42,2.8,4.06,0.44,5.06,2.91
Nov,2019,5.94,0.42,3.11,4.06,0.44,6.18,3.24
Dec,2019,5.56,0.43,3.46,4.06,0.45,5.79,3.6
Jan,2020,5.04,0.45,3.13,2.79,0.46,5.18,3.22
Feb,2020,4.72,0.45,2.99,2.79,0.46,4.85,3.07
Mar,2020,4.47,0.49,3.27,2.79,0.5,4.59,3.36
Apr,2020,4.45,0.56,3.41,2.79,0.58,4.57,3.51
May,2020,5.08,0.51,3.3,2.79,0.52,5.22,3.39
Jun,2020,5.1,0.52,3.12,2.79,0.53,5.24,3.21
Jul,2020,4.7,0.48,3.24,2.79,0.49,4.83,3.33
Aug,2020,4.63,0.5,3.6,2.79,0.51,4.76,3.7
Sep,2020,4.6,0.51,3.67,2.79,0.52,4.73,3.77
Oct,2020,4.42,0.47,3.35,2.79,0.48,4.54,3.44
Nov,2020,4.4,0.49,3.32,2.79,0.5,4.52,3.41
Dec,2020,4.4,0.52,3.48,2.79,0.53,4.52,3.58
Jan,2021,4.46,0.55,3.54,-1.29,0.54,4.4,3.49
Feb,2021,4.66,0.56,3.67,-1.29,0.55,4.6,3.62
Mar,2021,4.72,0.52,3.68,-1.29,0.51,4.66,3.63
Apr,2021,5.17,0.5,3.72,-1.29,0.49,5.1,3.67
May,2021,5.48,0.49,4.11,-1.29,0.48,5.41,4.06
Jun,2021,5.68,0.47,4.24,-1.29,0.46,5.61,4.19
Jul,2021,5.59,0.41,4.5,-1.29,0.4,5.52,4.44
Aug,2021,5.61,0.4,4.77,-1.29,0.39,5.54,4.71
Sep,2021,5.66,0.4,4.97,-1.29,0.39,5.59,4.91
Oct,2021,5.7,0.4,5.31,-1.29,0.39,5.63,5.24
Nov,2021,5.95,0.4,5.71,-1.29,0.39,5.87,5.64
Dec,2021,5.95,0.4,5.91,-1.29,0.39,5.87,5.83
Jan,2022,5.97,0.43,5.98,,,,
